admissionNumber,firstName,middleName,lastName,form,status,stream,dateOfBirth,gender,parentPhone,email,address,uploadBatchId
3028,Mary,Ochieng,Chebet,Form 1,active,B,1/26/2010,Male,254767185376,mary.chebet73@gmail.com,"420 Kisumu Road, Nakuru",
3029,William,Chebet,Otieno,Form 1,active,G,8/7/2008,Female,254749395970,william.otieno40@gmail.com,"830 Kenyatta Avenue, Nairobi",
3030,Michael,,Musyoka,Form 2,active,E,8/19/2008,Male,254723957332,michael.musyoka10@gmail.com,"64 Moi Avenue, Nakuru",
3031,Isabella,Otieno,Otieno,Form 2,active,H,7/20/2006,Female,254797205898,isabella.otieno12@gmail.com,"356 Main Street, Kitale",
3032,Charles,,Mwangi,Form 2,active,D,3/16/2010,Female,254738758792,charles.mwangi97@gmail.com,"662 Thika Road, Nairobi",
3033,Abigail,Kimani,Mwangi,Form 2,active,A,4/13/2006,Male,254790641188,abigail.mwangi72@gmail.com,"697 Kenyatta Avenue, Meru",
3034,John,Kipchoge,Kariuki,Form 2,active,E,9/28/2006,Male,254722728670,john.kariuki98@gmail.com,"366 Kenyatta Avenue, Eldoret",
3035,Elizabeth,,Wafula,Form 2,active,G,11/17/2009,Male,254764571972,elizabeth.wafula81@gmail.com,"11 River Road, Eldoret",
3036,Karen,Njeri,Wanjiru,Form 2,active,B,2/9/2007,Male,254731737314,karen.wanjiru72@gmail.com,"394 Kenyatta Avenue, Machakos",
3037,Christopher,Barasa,Kariuki,Form 2,active,D,4/1/2010,Male,254767939976,christopher.kariuki38@gmail.com,"385 River Road, Kitale",
3038,Elizabeth,,Cheruiyot,Form 2,active,B,12/1/2007,Female,254738903608,elizabeth.cheruiyot75@gmail.com,"965 Kisumu Road, Kisumu",
3039,Michael,,Ochieng,Form 2,active,B,9/15/2008,Female,254792519133,michael.ochieng82@gmail.com,"967 Thika Road, Mombasa",
3040,Eric,Cheruiyot,Cheruiyot,Form 2,active,G,3/5/2009,Male,254794117236,eric.cheruiyot80@gmail.com,"58 Kisumu Road, Meru",
3041,Abigail,Koech,Odhiambo,Form 2,active,E,2/28/2007,Female,254793732203,abigail.odhiambo53@gmail.com,"458 Moi Avenue, Kisumu",
3042,Kenneth,Kilonzo,Wafula,Form 2,active,C,1/12/2007,Male,254780903802,kenneth.wafula31@gmail.com,"281 Kisumu Road, Kakamega",
3043,Karen,Rono,Achieng,Form 2,active,E,10/18/2011,Male,254784938790,karen.achieng64@gmail.com,"789 Ngong Road, Kitale",
3044,Timothy,Wanjiru,Musyoka,Form 2,active,A,9/7/2006,Male,254767502976,timothy.musyoka89@gmail.com,"49 Mombasa Road, Kisumu",
3045,William,,Wanjiku,Form 2,active,G,4/23/2009,Male,254766380604,william.wanjiku50@gmail.com,"262 Kenyatta Avenue, Mombasa",
3046,Emily,Kariuki,Achieng,Form 2,active,A,7/21/2010,Male,254760773581,emily.achieng42@gmail.com,"347 Moi Avenue, Kisumu",
3047,Ava,,Kimani,Form 2,active,E,6/2/2010,Female,254739478512,ava.kimani95@gmail.com,"231 River Road, Nairobi",
3048,William,Wanjiru,Kiptoo,Form 2,active,B,5/23/2005,Male,254711783650,william.kiptoo75@gmail.com,"115 Moi Avenue, Meru",
3049,Thomas,,Kimani,Form 2,active,C,4/24/2010,Male,254734942013,thomas.kimani39@gmail.com,"705 Uhuru Highway, Kisumu",
3050,Thomas,Mutiso,Koech,Form 2,active,A,10/17/2007,Female,254728500188,thomas.koech74@gmail.com,"291 Eldoret Road, Nairobi",
3051,Linda,Wanjiru,Adhiambo,Form 2,active,A,10/22/2008,Male,254753887007,linda.adhiambo79@gmail.com,"277 Kenyatta Avenue, Eldoret",
3052,Jason,,Kilonzo,Form 2,active,B,6/25/2009,Female,254733906949,jason.kilonzo61@gmail.com,"775 Moi Avenue, Nakuru",
3053,Lucas,Mwangi,Mbugua,Form 2,active,F,5/17/2005,Female,254733578125,lucas.mbugua64@gmail.com,"422 Thika Road, Nairobi",
3054,William,Wafula,Njoroge,Form 2,active,A,10/28/2006,Male,254778434146,william.njoroge47@gmail.com,"91 Moi Avenue, Nakuru",
3055,Linda,Njoroge,Wafula,Form 3,active,C,2/22/2007,Female,254726470160,linda.wafula50@gmail.com,"134 Uhuru Highway, Kitale",
3056,Christopher,Mbugua,Maina,Form 3,active,A,6/23/2008,Male,254758604120,christopher.maina92@gmail.com,"305 Mombasa Road, Machakos",
3057,Jennifer,,Musyoka,Form 3,active,F,8/12/2011,Male,254757554937,jennifer.musyoka48@gmail.com,"399 Kenyatta Avenue, Machakos",
3058,Kevin,Wanjiru,Njeri,Form 3,active,G,9/15/2007,Female,254750920914,kevin.njeri91@gmail.com,"977 River Road, Machakoskoskos",
3059,Robert,Wanjiru,Cheruiyot,Form 3,active,E,11/20/2007,Male,254790701044,robert.cheruiyot88@gmail.com,"945 River Road, Kitale",
3060,Alexander,Adhiambo,Kilonzo,Form 3,active,F,2/15/2007,Male,254790844750,alexander.kilonzo90@gmail.com,"457 Eldoret Road, Kisumu",
3061,Eric,,Koech,Form 3,active,C,9/17/2009,Male,254730157189,eric.koech54@gmail.com,"415 Main Street, Mombasa",
3062,Sophia,Otieno,Barasa,Form 3,active,A,7/6/2009,Female,254783421711,sophia.barasa31@gmail.com,"68 River Road, Thika",
3063,Henry,Muli,Korir,Form 3,active,E,11/9/2009,Female,254737744061,henry.korir80@gmail.com,"195 Kenyatta Avenue, Kisumu",
3064,Abigail,Wanjiru,Akinyi,Form 3,active,A,9/17/2006,Female,254775794479,abigail.akinyi48@gmail.com,"146 River Road, Nairobi",
3065,Elizabeth,Njoroge,Kariuki,Form 3,active,E,3/12/2007,Female,254747675263,elizabeth.kariuki83@gmail.com,"427 River Road, Mombasa",
3066,Barbara,Kariuki,Muli,Form 3,active,G,4/4/2008,Female,254763986596,barbara.muli87@gmail.com,"498 River Road, Nairobi",
3067,James,Wafula,Njoroge,Form 3,active,A,10/16/2007,Male,254728325055,james.njoroge65@gmail.com,"489 Uhuru Highway, Meru",
3068,Richard,Odhiambo,Adhiambo,Form 3,active,B,4/2/2009,Female,254779151719,richard.adhiambo61@gmail.com,"456 Thika Road, Nairobi",
3069,Jennifer,,Wanjiru,Form 3,active,D,6/3/2006,Male,254759399683,jennifer.wanjiru73@gmail.com,"655 Mombasa Road, Meru",
3070,Kenneth,,Korir,Form 3,active,H,7/17/2008,Female,254722466942,kenneth.korir65@gmail.com,"471 Kenyatta Avenue, Kisumu",
3071,Isabella,Koech,Mbugua,Form 3,active,E,4/2/2009,Female,254735682967,isabella.mbugua44@gmail.com,"289 Moi Avenue, Thika",
3072,Jason,,Wafula,Form 3,active,H,2/10/2010,Female,254777173908,jason.wafula60@gmail.com,"981 Kisumu Road, Nairobi",
3073,Olivia,Chebet,Njoroge,Form 3,active,D,11/9/2006,Male,254754864441,olivia.njoroge27@gmail.com,"407 Uhuru Highway, Kisumu",
3074,Robert,Mbugua,Koech,Form 3,active,D,4/28/2009,Female,254759181513,robert.koech57@gmail.com,"174 River Road, Eldoret",
3075,Steven,Mutua,Mwangi,Form 3,active,H,3/4/2006,Female,254793732726,steven.mwangi16@gmail.com,"229 Moi Avenue, Eldoret",
3076,Liam,,Mwangi,Form 3,active,B,5/8/2009,Female,254771840980,liam.mwangi65@gmail.com,"708 Main Street, Kisumu",
3077,Oliver,Adhiambo,Wanjiku,Form 3,active,D,10/24/2011,Male,254748902544,oliver.wanjiku57@gmail.com,"610 Main Street, Kakamega",
3078,Joseph,Wanjiru,Kiptoo,Form 3,active,D,11/17/2009,Male,254718445618,joseph.kiptoo49@gmail.com,"923 River Road, Thika",
3079,Mary,Cheruiyot,Rono,Form 3,active,D,5/13/2008,Female,254755584316,mary.rono56@gmail.com,"758 Moi Avenue, Kakamega",
3080,Linda,Chebet,Musyoka,Form 4,active,C,11/3/2006,Female,254789881441,linda.musyoka19@gmail.com,"116 Mombasa Road, Nakuru",
3081,Karen,,Wanjiku,Form 4,active,C,10/1/2006,Male,254720643785,karen.wanjiku46@gmail.com,"899 Mombasa Road, Kakamega",
3082,Isabella,Korir,Musyoka,Form 4,active,D,3/2/2009,Female,254713689238,isabella.musyoka97@gmail.com,"156 Kenyatta Avenue, Thika",
3083,Thomas,Kilonzo,Mwangi,Form 4,active,G,7/21/2006,Male,254757303344,thomas.mwangi37@gmail.com,"383 Thika Road, Nairobi",
3084,Robert,Kiptoo,Musyoka,Form 4,active,C,11/6/2009,Male,254718178418,robert.musyoka91@gmail.com,"255 Mombasa Road, Nairobi",
3085,Lucas,Ochieng,Wafula,Form 4,active,C,6/21/2007,Female,254718188612,lucas.wafula49@gmail.com,"713 Kenyatta Avenue, Nakuru",
3086,Isabella,,Cheruiyot,Form 4,active,E,5/4/2005,Male,254792104921,isabella.cheruiyot10@gmail.com,"112 Eldoret Road, Machakoskos",
3087,Jason,Kamau,Kilonzo,Form 4,active,A,3/7/2007,Male,254728827537,jason.kilonzo64@gmail.com,"62 Eldoret Road, Nairobi",
3088,Liam,,Njoroge,Form 4,active,E,6/15/2006,Female,254779600274,liam.njoroge99@gmail.com,"315 Uhuru Highway, Meru",
3089,James,Kariuki,Adhiambo,Form 4,active,E,9/20/2007,Female,254773888245,james.adhiambo70@gmail.com,"501 Kenyatta Avenue, Mombasa",
3090,Isabella,Kiptoo,Achieng,Form 4,active,F,5/12/2008,Male,254723386395,isabella.achieng83@gmail.com,"558 River Road, Meru",
3091,Mary,Kariuki,Kipchoge,Form 4,active,A,10/2/2008,Female,254789452500,mary.kipchoge79@gmail.com,"491 Eldoret Road, Thika",
3092,Eric,,Kimani,Form 4,active,H,9/25/2007,Female,254722357707,eric.kimani55@gmail.com,"395 Thika Road, Eldoret",
3093,Liam,Odhiambo,Musyoka,Form 4,active,G,1/10/2011,Female,254715568938,liam.musyoka92@gmail.com,"338 Thika Road, Machakos",
3094,Christopher,,Kamau,Form 4,active,G,11/15/2010,Female,254727766379,christopher.kamau50@gmail.com,"128 Thika Road, Thika",
3095,Christopher,Kiptoo,Mbugua,Form 4,active,C,10/2/2010,Male,254742376416,christopher.mbugua79@gmail.com,"606 Ngong Road, Kakamega",
3096,Liam,Njoroge,Wanjiru,Form 4,active,E,10/28/2011,Female,254757732601,liam.wanjiru76@gmail.com,"124 Kenyatta Avenue, Thika",
3097,Christopher,Mbugua,Njoroge,Form 4,active,F,6/19/2005,Male,254726188234,christopher.njoroge80@gmail.com,"88 River Road, Eldoret",
3098,David,Barasa,Wanjiru,Form 4,active,H,11/23/2007,Male,254737941243,david.wanjiru95@gmail.com,"643 Moi Avenue, Kitale",
3099,Steven,Musyoka,Akinyi,Form 4,active,B,4/2/2008,Male,254755300774,steven.akinyi91@gmail.com,"3 River Road, Kitale",
